name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
Goat chops 6 7246110 2039083 099001 598037 568426,,IFCT2017,100,115.5,6.0,20.39,1.1,0.83,,,IFCT2017_Complete_OCR
Goat legs 6 6885086 2207063 0974003 7944062 669426,,IFCT2017,100,120.0,6.0,22.07,0.86,0.63,,,IFCT2017_Complete_OCR
Goat tongue 4 6840100 1663054 102004 13682109 78939,,IFCT2017,100,91.5,4.0,16.63,1.0,0.54,,,IFCT2017_Complete_OCR
Goat liver 6 73374116 2032092 1304007 488073 526431,,IFCT2017,100,51.8,6.0,4.88,0.92,0.73,,,IFCT2017_Complete_OCR
Goat tripe 5 8094084 15362050 023002 336029 386219,,IFCT2017,100,33.6,5.0,3.36,0.02,0.29,,,IFCT2017_Complete_OCR
Goat spleen 4 7793050 1845015 115009 2374036 401414,,IFCT2017,100,94.3,4.0,18.45,0.5,0.15,,,IFCT2017_Complete_OCR
Goat tube,,IFCT2017,100,69.3,3.0,12.92,0.63,0.54,,,IFCT2017_Complete_OCR
Goat testis a 8429 1232 087 239 298,,IFCT2017,100,354.6,84.29,2.39,0.87,,,,IFCT2017_Complete_OCR
Sheep shoulder 5 6651251 1824141 086001 14314137 84068,,IFCT2017,100,115.5,5.0,18.24,2.51,1.41,,,IFCT2017_Complete_OCR
Sheep chops 4 75664278 1800122 109002 515205 496486,,IFCT2017,100,113.0,4.0,18.0,2.78,1.22,,,IFCT2017_Complete_OCR
Sheep brain 1 7836 1305 119 729 492,,IFCT2017,100,126.2,1.0,1.19,13.05,7.29,,,IFCT2017_Complete_OCR
Sheep tongue i 6870 1661 106 1353 783,,IFCT2017,100,338.5,68.7,13.53,1.06,,,,IFCT2017_Complete_OCR
Sheep heart i 7706 1819 097 366 445,,IFCT2017,100,331.6,77.06,3.66,0.97,,,,IFCT2017_Complete_OCR
Sheep liver 4 6971112 2226146 126007 4874012 559421,,IFCT2017,100,115.1,4.0,22.26,1.12,1.46,,,IFCT2017_Complete_OCR
Sheep tripe 2 7881 1676 026 405 435,,IFCT2017,100,159.9,2.0,0.26,16.76,4.05,,,IFCT2017_Complete_OCR
Sheep kidneys 2 7977 1622 100 292 384,,IFCT2017,100,158.0,2.0,1.0,16.22,2.92,,,IFCT2017_Complete_OCR
Beef shoulder 6 6384059 2056132 095001 1459086 889412,,IFCT2017,100,111.5,6.0,20.56,0.59,1.32,,,IFCT2017_Complete_OCR
Calf shoulder 2 7049 2098 094 747 633,,IFCT2017,100,200.6,2.0,0.94,20.98,,,,IFCT2017_Complete_OCR
Calf chops 2 7266 2247 092 385 524,,IFCT2017,100,213.9,2.0,0.92,22.47,3.85,,,IFCT2017_Complete_OCR
Calf round,,IFCT2017,100,200.9,2.0,0.74,21.1,6.92,,,IFCT2017_Complete_OCR
Calf brain 2 8119 984 126 760 448,,IFCT2017,100,101.6,2.0,1.26,9.84,7.6,,,IFCT2017_Complete_OCR
Calf tongue 2 6944 1778 093 1176 737,,IFCT2017,100,171.7,2.0,0.93,17.78,11.76,,,IFCT2017_Complete_OCR
Calf heart 1 7344 1884 086 375 459,,IFCT2017,100,177.0,1.0,0.86,18.84,3.75,,,IFCT2017_Complete_OCR
Calf liver 1 7366 2102 126 395 503,,IFCT2017,100,198.2,1.0,1.26,21.02,3.95,,,IFCT2017_Complete_OCR
Calf spleen 1 7865 1771 141 212 379,,IFCT2017,100,169.0,1.0,1.41,17.71,2.12,,,IFCT2017_Complete_OCR
Calf kidneys 2 8023 1516 102 350 387,,IFCT2017,100,148.5,2.0,1.02,15.16,3.5,,,IFCT2017_Complete_OCR
Mithun shoulder 1 6886 1905 084 1114 736,,IFCT2017,100,178.8,1.0,0.84,19.05,11.14,,,IFCT2017_Complete_OCR
-Mithun chops 1 7381 1819 079 612 536,,IFCT2017,100,170.9,1.0,0.79,18.19,6.12,,,IFCT2017_Complete_OCR
Mithun round,,IFCT2017,100,184.1,1.0,0.9,19.61,4.1,,,IFCT2017_Complete_OCR
Pork lungs 4 8112072 1513052 093001 2744023 358416,,IFCT2017,100,83.0,4.0,15.13,0.72,0.52,,,IFCT2017_Complete_OCR
Pork heart 4 77744088 1631016 1014001 487084 457432,,IFCT2017,100,21.5,4.0,1.01,0.16,40.01,,,IFCT2017_Complete_OCR
Pork liver 5 74884123 19892116 118003 3944034 484224,,IFCT2017,100,101.0,5.0,18.0,1.0,0.03,,,IFCT2017_Complete_OCR
Pork stomach A 7651 1536 023 781 550,,IFCT2017,100,339.4,76.51,7.81,0.23,,,,IFCT2017_Complete_OCR
Pork spleen 3 8093108 1513079 113005 2714071 357431,,IFCT2017,100,23.6,3.0,1.13,0.79,0.05,,,IFCT2017_Complete_OCR
Pork kidneys 5 8092087 1435103 0974010 365055 379421,,IFCT2017,100,85.2,5.0,14.35,0.87,1.03,,,IFCT2017_Complete_OCR
Pork tube,,IFCT2017,100,140.8,1.0,0.55,14.96,8.98,,,IFCT2017_Complete_OCR
Hare shoulder i 7106 2113 1A7 658 603,,IFCT2017,100,321.2,71.06,7.0,1.0,6.58,,,IFCT2017_Complete_OCR
Hare chops 1 7547 2062 127 255 445,,IFCT2017,100,194.7,1.0,1.27,20.62,2.55,,,IFCT2017_Complete_OCR
Hare leg 1 7300 2052 126 416 503,,IFCT2017,100,193.7,1.0,1.26,20.52,4.16,,,IFCT2017_Complete_OCR
Rabbit shoulder 1 7075 2001 119 796 635,,IFCT2017,100,188.8,1.0,1.19,20.01,7.96,,,IFCT2017_Complete_OCR
Rabbit chops il 7103 2261 135 488 565,,IFCT2017,100,315.8,71.03,4.88,1.35,,,,IFCT2017_Complete_OCR
Rabbit leg 1 7033 2131 126 599 584,,IFCT2017,100,200.8,1.0,1.26,21.31,5.99,,,IFCT2017_Complete_OCR
Allathi,,IFCT2017,100,317.1,75.91,0.98,1.06,,,,IFCT2017_Complete_OCR
Anchovy,,IFCT2017,100,46.4,7.17,0.78,1.62,,,,IFCT2017_Complete_OCR
Betki,,IFCT2017,100,341.3,82.52,0.29,1.12,,,,IFCT2017_Complete_OCR
Black snapper,,IFCT2017,100,328.0,78.09,1.24,1.19,,,,IFCT2017_Complete_OCR
Bombay duck,,IFCT2017,100,346.7,83.24,1.03,1.07,,,,IFCT2017_Complete_OCR
Cat fish,,IFCT2017,100,325.3,76.22,2.13,1.32,,,,IFCT2017_Complete_OCR
Chelu,,IFCT2017,100,319.8,76.36,0.7,1.28,,,,IFCT2017_Complete_OCR
Eri meen,,IFCT2017,100,325.8,76.54,2.02,1.28,,,,IFCT2017_Complete_OCR
Gobro,,IFCT2017,100,327.7,78.84,0.88,0.98,,,,IFCT2017_Complete_OCR
Guitar fish,,IFCT2017,100,316.6,75.73,0.44,1.32,,,,IFCT2017_Complete_OCR
Jathi vela meen,,IFCT2017,100,321.7,75.66,1.92,1.26,,,,IFCT2017_Complete_OCR
Kadal bral,,IFCT2017,100,335.4,79.66,1.34,1.27,,,,IFCT2017_Complete_OCR
Kadali,,IFCT2017,100,321.3,73.74,4.2,1.06,,,,IFCT2017_Complete_OCR
Kanamayya,,IFCT2017,100,322.6,77.59,0.65,1.07,,,,IFCT2017_Complete_OCR
Karimeen,,IFCT2017,100,328.9,78.66,1.38,0.97,,,,IFCT2017_Complete_OCR
Karnagawala,,IFCT2017,100,333.3,79.22,0.84,1.45,,,,IFCT2017_Complete_OCR
Kayrai,,IFCT2017,100,314.3,72.69,3.0,1.28,,,,IFCT2017_Complete_OCR
Kite fish,,IFCT2017,100,326.2,77.61,0.56,1.5,,,,IFCT2017_Complete_OCR
Korka,,IFCT2017,100,312.2,72.25,3.36,1.09,,,,IFCT2017_Complete_OCR
Kulam paarai,,IFCT2017,100,319.4,73.44,3.6,1.25,,,,IFCT2017_Complete_OCR
Maagaa,,IFCT2017,100,328.7,79.23,0.67,1.01,,,,IFCT2017_Complete_OCR
Manda clathi,,IFCT2017,100,322.6,76.32,1.0,1.48,,,,IFCT2017_Complete_OCR
Matha,,IFCT2017,100,647.4,79.81,79.0,1.35,,,,IFCT2017_Complete_OCR
Milk fish,,IFCT2017,100,303.3,72.22,1.09,1.12,,,,IFCT2017_Complete_OCR
Moon fish,,IFCT2017,100,330.8,74.21,4.69,1.69,,,,IFCT2017_Complete_OCR
Myil meen,,IFCT2017,100,315.7,75.57,0.56,1.24,,,,IFCT2017_Complete_OCR
Nalla bontha,,IFCT2017,100,356.2,79.32,0.72,4.0,,,,IFCT2017_Complete_OCR
