name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
"Pork, spleen",,IFCT_Extracted,100,23.6,3.0,1.13,0.79,0.05,,,IFCT2017_Complete_OCR
"Pork, kidneys",,IFCT_Extracted,100,85.2,5.0,14.35,0.87,1.03,,,IFCT2017_Complete_OCR
"Pork, tube",,IFCT_Extracted,100,140.8,1.0,0.55,14.96,8.98,,,IFCT2017_Complete_OCR
"Hare, shoulder i",,IFCT_Extracted,100,321.2,71.06,7.0,1.0,6.58,,,IFCT2017_Complete_OCR
"Hare, chops",,IFCT_Extracted,100,194.7,1.0,1.27,20.62,2.55,,,IFCT2017_Complete_OCR
"Hare, leg",,IFCT_Extracted,100,193.7,1.0,1.26,20.52,4.16,,,IFCT2017_Complete_OCR
"Rabbit, shoulder",,IFCT_Extracted,100,188.8,1.0,1.19,20.01,7.96,,,IFCT2017_Complete_OCR
"Rabbit, chops il",,IFCT_Extracted,100,315.8,71.03,4.88,1.35,,,,IFCT2017_Complete_OCR
"Rabbit, leg",,IFCT_Extracted,100,200.8,1.0,1.26,21.31,5.99,,,IFCT2017_Complete_OCR
Allathi,,IFCT_Extracted,100,317.1,75.91,0.98,1.06,,,,IFCT2017_Complete_OCR
Anchovy,,IFCT_Extracted,100,46.4,7.17,0.78,1.62,,,,IFCT2017_Complete_OCR
Betki,,IFCT_Extracted,100,341.3,82.52,0.29,1.12,,,,IFCT2017_Complete_OCR
Black snapper,,IFCT_Extracted,100,328.0,78.09,1.24,1.19,,,,IFCT2017_Complete_OCR
Bombay duck,,IFCT_Extracted,100,346.7,83.24,1.03,1.07,,,,IFCT2017_Complete_OCR
Cat fish,,IFCT_Extracted,100,325.3,76.22,2.13,1.32,,,,IFCT2017_Complete_OCR
Chelu,,IFCT_Extracted,100,319.8,76.36,0.7,1.28,,,,IFCT2017_Complete_OCR
Eri meen,,IFCT_Extracted,100,325.8,76.54,2.02,1.28,,,,IFCT2017_Complete_OCR
Gobro,,IFCT_Extracted,100,327.7,78.84,0.88,0.98,,,,IFCT2017_Complete_OCR
Guitar fish,,IFCT_Extracted,100,316.6,75.73,0.44,1.32,,,,IFCT2017_Complete_OCR
Jathi vela meen,,IFCT_Extracted,100,321.7,75.66,1.92,1.26,,,,IFCT2017_Complete_OCR
Kadal bral,,IFCT_Extracted,100,335.4,79.66,1.34,1.27,,,,IFCT2017_Complete_OCR
Kadali,,IFCT_Extracted,100,321.3,73.74,4.2,1.06,,,,IFCT2017_Complete_OCR
Kanamayya,,IFCT_Extracted,100,322.6,77.59,0.65,1.07,,,,IFCT2017_Complete_OCR
Karimeen,,IFCT_Extracted,100,328.9,78.66,1.38,0.97,,,,IFCT2017_Complete_OCR
Karnagawala,,IFCT_Extracted,100,333.3,79.22,0.84,1.45,,,,IFCT2017_Complete_OCR
Kayrai,,IFCT_Extracted,100,314.3,72.69,3.0,1.28,,,,IFCT2017_Complete_OCR
Kite fish,,IFCT_Extracted,100,326.2,77.61,0.56,1.5,,,,IFCT2017_Complete_OCR
Korka,,IFCT_Extracted,100,312.2,72.25,3.36,1.09,,,,IFCT2017_Complete_OCR
Kulam paarai,,IFCT_Extracted,100,319.4,73.44,3.6,1.25,,,,IFCT2017_Complete_OCR
Maagaa,,IFCT_Extracted,100,328.7,79.23,0.67,1.01,,,,IFCT2017_Complete_OCR
Manda clathi,,IFCT_Extracted,100,322.6,76.32,1.0,1.48,,,,IFCT2017_Complete_OCR
Matha,,IFCT_Extracted,100,647.4,79.81,79.0,1.35,,,,IFCT2017_Complete_OCR
Milk fish,,IFCT_Extracted,100,303.3,72.22,1.09,1.12,,,,IFCT2017_Complete_OCR
Moon fish,,IFCT_Extracted,100,330.8,74.21,4.69,1.69,,,,IFCT2017_Complete_OCR
Myil meen,,IFCT_Extracted,100,315.7,75.57,0.56,1.24,,,,IFCT2017_Complete_OCR
Nalla bontha,,IFCT_Extracted,100,356.2,79.32,0.72,4.0,,,,IFCT2017_Complete_OCR
Paarai,,IFCT_Extracted,100,321.3,75.77,1.84,1.21,,,,IFCT2017_Complete_OCR
Padayappa,,IFCT_Extracted,100,330.8,79.18,0.69,1.26,,,,IFCT2017_Complete_OCR
Pali kora,,IFCT_Extracted,100,330.8,78.63,1.81,1.0,,,,IFCT2017_Complete_OCR
Pandukopa,,IFCT_Extracted,100,322.8,77.46,0.65,1.15,,,,IFCT2017_Complete_OCR
Parrot fish,,IFCT_Extracted,100,322.2,76.84,0.57,1.4,,,,IFCT2017_Complete_OCR
Perinkilichai,,IFCT_Extracted,100,670.5,78.33,87.0,1.02,,,,IFCT2017_Complete_OCR
